"VMHostName","VMHostCpuUsage","VMHostCpuTotal","VMHostMemoryUsage","VMHostMemoryTotal"
"servnername0","3","73","39","768"
"servnername1","30","67","249","512"
"servnername2","10","67","236","512"
"servnername3","10","67","182","512"
"servnername4","8","67","66","512"
