"AvailableLicenses","IssuedLicenses","TotalLicenses","KeyPackId","ProductVersion","ReportedOn"
"103","147","250","3","Windows Server 2012","2020-10-23"
"0","3","0","5","Windows Server 2008 or Windows Server 2008 R2","2020-10-23"
